StatLevel/internal05,Greater Yang
Story/D_7_3_3_097,"Wait‑I'll ask one more thing, just one"
Story/D_7_3_3_096,Alright. Ask me one more question and I'll‑I've been a hero my whole life‑I'll end up shitting my pants!
Story/D_7_3_3_095,"Before becoming a great hero, you are first and foremost a person‑nothing to be ashamed of. Your body and hair are given by your parents; someone who doesn't cherish themselves isn't worthy of being a hero at all."
Story/D_7_3_3_094,"So... like that, can one still be called a xia?"
Story/D_7_3_3_093,"Get as far away as you can. Take the Beggar Sect members and leave the Central Plains. Don't concern yourself with the Tang Clan or any lofty Datong ideals. Make sure the Beggar Sect members have food and shelter; if you can't even look after the people around you, then just look after yourself."
Story/D_7_3_3_092,Flee
Story/D_7_3_3_091,"But, Foster Father, what if you're wrong? What if I do everything I can and still can't protect the Nangong family head? What if the Nangong family head becomes the alliance leader but refuses to offend the Imperial Court for the sake of the Tang Clan?"
Story/D_7_3_3_090,"If you've pretty much asked enough, go back to your nest and sleep‑don't bother people while they're pooping."
Story/D_7_3_3_089,……。
Story/D_7_3_3_088,"...How can one have it both ways? Either choice is difficult; whether I stay or go, there will be regrets. I'm already the head of the Beggars; living like a beast, it can't get any worse ‑ so I might as well shoulder the dung and take it with me."
Story/D_7_3_3_087,"Adoptive Father, don't you feel any regret?"
Story/D_7_3_3_086,"I will. This is something we agreed on together, and each of us will bear our own consequences. My relationship with her is a matter for our generation; you don't need to worry about it."
Story/D_7_3_3_085,But will Lady Wen agree to Great Hero Nangong becoming the alliance leader?
Story/D_7_3_3_084,So you must do as I say
Story/D_7_3_3_083,That won't do!
Story/D_7_3_3_082,"No one dares to defy the Imperial Court to uphold justice. Scholars will increase, while chivalrous warriors who wish to learn martial arts will dwindle, eventually leading to the loss of martial arts. From then on, aristocrats will act without restraint, the poor will become poorer, and the rich will grow richer. If they can't support beggars, they will kill all beggars."
Story/D_7_3_3_081,After the collapse...?
Story/D_7_3_3_080,"During the Imperial Court's conciliatory period they wouldn't move against the Tang Clan, but once that period ended they'd most likely burn the bridge and settle old scores. Having that prior lesson as a warning, no one in the Wulin dared to resist the Imperial Court anymore. Once the balance was broken, the situation would collapse."
Story/D_7_3_3_079,"...because, apart from the Nangong family head, no one in the world could protect the Tang Clan."
Story/D_7_3_3_078,Yes... this child understands.
Story/D_7_3_3_077,You must put the bigger picture first; you must never say that kind of defeatist talk again.
Story/D_7_3_3_076,How I wish I could take back the words I said back then...
Story/D_7_3_3_075,"...I'm the one who killed your father, remember? You loudly declared you'd kill me sooner or later to avenge him. Now that I'm giving you the chance, why do you look so reluctant to strike?"
Story/D_7_3_3_074,"Anyway, before long my adoptive father will abandon me. I'll be an orphan again; if I don't ask him now, there won't be another chance."
Story/D_7_3_3_073,"You'll have to figure it out for yourself sooner or later. How old are you, still acting spoiled?"
Story/D_7_3_3_072,"I'm dull‑witted; I just can't make sense of it. I'm simply afraid that if I can't think it through thoroughly and can't be flexible, it'll only make things worse."
Story/D_7_3_3_071,You sure have a lot of questions
Story/D_7_3_3_070,Why must it be the head of the Nangong family?
Story/D_7_3_3_069,"If I'm not mistaken, the Nangong family head‑the people's choice‑will surely become the alliance leader. If I am mistaken, you must still find a way to bring it about. Therefore you must be patient and only speak up at the crucial moment."
Story/D_7_3_3_068,"Chances are they'll call another Wulin Grand Assembly then ‑ people of the Jianghu love a spectacle, and this plays to that. Electing a single alliance leader to keep the Wulin in check is easier than coaxing each sect into submission."
Story/D_7_3_3_067,You've unified the Beggar Sect‑what now?
Story/D_7_3_3_066,"You will take on the role of the Beggar Sect's Sect Master. Calm the old generation and keep them within the sect, preventing them from acting recklessly outside its bounds. You must be submissive and mediate between the new and old factions to ease their conflicts. Drag this situation out until all the elders have passed away, then take over the power of the old faction and unify the Beggar Sect."
Story/D_7_3_3_065,So... so... so... what should I do?
Story/D_7_3_3_064,"No. This is the necessary path to Great Harmony; members of the Wulin can also put their skills to use in serving the state. Conversely, if relations between the Imperial Court and the people are not reconciled now, once the external threat is removed the Wulin will inevitably face a purge by the Imperial Court."
Story/D_7_3_3_063,Is this a bad thing?
Story/D_7_3_3_062,"After the Jiangling Action, the Imperial Court, having perceived a chance to coexist with Jianghu forces, will certainly take conciliatory measures and actively court figures within the Wulin."
Story/D_7_3_3_061,"So our surrounding of Jiangling was not aimed at victory, but at stirring up the Jianghu, breaking the established order, and forcing those sunk in indulgence and clinging to old rules to grow tense and set their minds to work‑"
Story/D_7_3_3_060,"The Great Song's resistance to the Jin has already been stretched beyond its limits; its main forces are deployed on the frontier, leaving no strength to pacify the interior. If another rebellion breaks out, the Great Song's fate will be sealed."
Story/D_7_3_3_059,"Child, keep firmly in mind what your sworn father said today."
Story/D_7_3_3_058,"Brother, my visit is precisely about this matter."
Story/D_7_3_3_057,"Master Shi Ming stepping forward to accuse you plays exactly into the Imperial Court's hands. They didn't move against you at the Wulin conference; later they certainly won't let you off. Our humble sect's former leader, Wang, predicted all this long ago."
Story/D_7_3_3_056,"There is no need to align with you; it is already sufficient to sigh. I have heard that the Wulin Alliance intends to cause you trouble, and he is very unwilling about it. But you know well that the court originally wanted to target you as well, just lacking a pretext, fearing that provoking an incident might spark common outrage."
Story/D_7_3_3_055,"Sigh, every family has its own troubles"
Story/D_7_3_3_054,"Ah... come to think of it, so that's how it was. I thought they had left already ‑ it turns out they were absent because of this? That's a bit too..."
Story/D_7_3_3_053,"At Jinxiang Palace, when the Tang Clan was being accused, the alliance leader was driven off by his own wife and took refuge outside. Several of his wives were squabbling, vying for his favor, and it even turned physical. He spent a long time calming them down before he returned."
Story/D_7_3_3_052,……！
Story/D_7_3_3_051,"At Alliance Leader Rui's inauguration banquet, upon hearing that the Tang Clan had‑had‑been accused by Master Shi Ming, they crushed their wine cups and urgently tried to persuade everyone."
Story/D_7_3_3_050,"Not siding with you, and standing on your opposite side, is already sufficient to lament. I have also heard that the Wulin Alliance intends to cause you trouble, and he is very unwilling about it. But you know well enough that the court originally wanted to target you as well, only worrying about lacking a valid pretext; they feared that rashly provoking you might stir up common resentment."
Story/D_7_3_3_049,Every family has its own problems
Story/D_7_3_3_048,"Ah... come to think of it, so that's how it was. I even thought he had left earlier‑so he was absent because of this?"
Story/D_7_3_3_047,"When the incident at Jinxiang Palace occurred, Alliance Leader Rui was in the midst of a family dispute. Their worries arose from love ‑ after all, even heroes struggle with matters of the heart."
Story/D_7_3_3_046,……！
Story/D_7_3_3_045,He said he and Brother Zhao are friends who would give their lives for each other. He can stake his reputation on the fact that you are absolutely not a member of the Mud Cult.
Story/D_7_3_3_044,"At Alliance Leader Rui's inauguration banquet, they heard that the Tang Clan had been accused. Deeply shocked, they did their utmost to persuade the two Lords and the sect leaders to urge the Gang Leader to think twice and stay calm."
Story/D_7_3_3_043,"Although it ended up like this, I intended to support the Tang Clan. This may sound like an evasive excuse, but please hear me out."
Story/D_7_3_3_042,The Beggar Sect has always supported the Tang Clan.
Story/D_7_3_3_041,"At the time of the Wulin gathering, for various reasons it simply wasn't the right time. Now the time is ripe."
Story/D_7_3_3_040,They came to help
Story/D_7_3_3_039,"That's right. My adoptive father, unlucky in love in his youth, ran ‑ ran off to Songshan intending to be ordained as a monk. In the end he never got his head shaved; instead, he ended up like this."
Story/D_7_3_3_038,King Hongpeng ‑ the martial overlord of the Eastern Thirteen Prefectures who follows Lord Yue!
Story/D_7_3_3_037,Leader Wang is a secular disciple of Songshan and the inheritor of Spring Sleep Master. Spring Sleep Master is none other than ──
Story/D_7_3_3_036,"All right, that's enough. I came on this trip precisely to say that."
Story/D_7_3_3_035,"...Now that it's come to this, you can say it, right?"
Story/D_7_3_3_034,Then why did you come together with Leader Li?
Story/D_7_3_3_033,"No need to repay, the Abbot said. Helping the Tang Clan is repaying you on behalf of the people."
Story/D_7_3_3_032,"Abbot, your noble generosity‑this kindness, I truly don't know how to repay."
Story/D_7_3_3_031,"I hereby send this humble monk, accompanied by a few fellow Brothers, to help defend. If the Wulin Alliance intends to act against the Tang Clan, I can also say a few fair words to reason with them."
Story/D_7_3_3_030,"Abbot Master Fangzhu greatly esteemed Old Palm Leader Tang and our former alliance with Songshan in expelling evil. Knowing the Tang Clan's proud spirit, he doubts they would submit to the Wulin Alliance. Fearing potential strife between us, he worries about impending calamity."
Story/D_7_3_3_029,Exactly ‑ they insisted on helping
Story/D_7_3_3_028,Are you insisting on helping?
Story/D_7_3_3_027,"Even if Sect Leader Tang refuses to accept it, we will still register to stay at the town temple."
Story/D_7_3_3_026,That's thoughtful of you
Story/D_7_3_3_025,"I, this monk, later explained everything to that elderly person in detail; they too regretted their earlier actions and repeatedly apologized. They therefore specially sent me to offer an apology and brought several Brothers to help guard the Tang Clan. If the Wulin Alliance intends to act against the Tang Clan, they can also speak a few fair words to dissuade them."
Story/D_7_3_3_024,"The Abbot has been cultivating Buddhist teachings in seclusion; his mind is entirely clear, and he is not versed in worldly scheming. When he, the elderly person, asked you to stay, he hadn't thought about the consequences at all. He simply believed that if everyone sat down, had a cup of tea and spoke openly, there would be no problem‑he had no malice whatsoever."
Story/D_7_3_3_023,But your Songshan Sect wasn't on our side either back then.
Story/D_7_3_3_022,"Naturally, we are here to help"
Story/D_7_3_3_021,"I wonder how Brother Li, the Sect Master, suddenly paid us a visit."
Story/D_7_3_3_020,"Leader Li, at such a young age, commands the Number One Gang under heaven‑truly a hero emerges in youth. I wonder what important matter brings you to visit the Tang Clan today?"
Story/D_7_3_3_019,"Hello, Sect Leader Tang"
Story/D_7_3_3_018,"Hello, Dharma Master Fu Yun"
Story/D_7_3_3_016,"Amituofo. Elder Benefactor Tang, long time no see; I only ran into Benefactor Zhao a short while ago."
Story/D_7_3_3_015,"Before any pleasantries, this humble monk must say solemnly: Dharma Master Shi Ming's words and actions have nothing to do with Songshan. I ask everyone to look into this carefully and not to blame a good person."
Story/D_7_3_3_014,Good Fortune──
Story/D_7_3_3_013,I'll go meet the visitors
Story/D_7_3_3_012,The Gang Leader is coming in person; we must not be negligent. Please notify the Acting Sect Leader‑I'll go up the mountain to welcome the Gang Leader.
Story/D_7_3_3_011,Ask Third Senior Brother later to arrange a different post for you; your position is too risky.
Story/D_7_3_3_010,I'd be so scared I'd die; I couldn't possibly go up the mountain to report it.
Story/D_7_3_3_009,"I thought there'd be a crowd, that they'd be here to pick a fight. There are hardly any people ‑ what are you so worked up about? They're being polite to you and you're already this nervous. What will you do if you run into someone who's rude?"
Story/D_7_3_3_008,The people who came... are so... so... so few! And they're also very polite!
Story/D_7_3_3_007,Why would the Beggar Sect's Sect Master suddenly pay a visit to the Tang Clan?
Story/D_7_3_3_006,The leader of the Beggar Sect is here!
Story/D_7_3_3_005,Fu Yun the monk also withdrew his request. How could the Beggar Sect Master suddenly visit the Tang Clan?
Story/D_7_3_3_004,The Beggar Sect Master and Master Fu Yun have arrived!
Story/D_7_3_3_003,I just took off my shoes and socks. Who's come‑why so nervous?
Story/D_7_3_3_002,"No, this is bad! Someone's here! Where's Brother Zhao? Wake up, don't sleep!"
Story/D_7_3_3_001,I shouldn't do anything else today. I need to calm down and think things through on my own.
Story/O_7_3_2_Break_01_010,Visit Fan Xiaotian
Story/O_7_3_2_Break_01_009,Visit Shangguan Ying
Story/O_7_3_2_Break_01_008,Visit Long Xiang
Story/O_7_3_2_Break_01_007,Interview with Xiao Ju
Story/O_7_3_2_Break_01_006,Visit Xiao Zhu
Story/O_7_3_2_Break_01_005,Visit Xiaolan
Story/O_7_3_2_Break_01_004,Visit Xiaomei
Story/O_7_3_2_Break_01_003,Visit Ye Yunzhao
Story/O_7_3_2_Break_01_002,Visit the Tang Clan brothers
Story/O_7_3_2_Break_01_001,Returned to their room to collect their thoughts.
Story/D_7_3_2_9_015,No need to be so polite!
Story/D_7_3_2_9_014,"This is enough, thank you"
Story/D_7_3_2_9_013,"If we don't act this way, who would respect beggars like us? We have to be fiercer and meaner than others; only then will people fear us and take us seriously. All those high‑minded principles are for the rich to worry about ‑ they don't concern me. I only care about loyalty."
Story/D_7_3_2_9_012,"Buddy, your killing intent is really strong"
Story/T_7_3_2_9_003,"If Master heard me speaking so rudely, she would surely tug my ear and scold me harshly. Where on earth has she gone? Why won't she come and scold me...? I'm so lonely."
Story/T_7_3_2_9_002,"If Master heard her speaking so rudely, she'd inevitably be scolded again."
Story/D_7_3_2_9_011,Got it
Story/D_7_3_2_9_010,Don't drag your junior sister into this. Do you understand?
Story/T_7_3_2_9_001,Now the junior sister is in for a rough time.
Story/D_7_3_2_9_009,"You, girl, come here. As your master, I'll teach you how to behave."
Story/D_7_3_2_9_008,Shishi! Master!
Story/D_7_3_2_9_007,"How did I, as your teacher, teach you to speak?"
Story/D_7_3_2_9_006,"Relax ‑ I'm on your side. Aside from those in green robes, the rest, damn it, will all be beaten without fail."
Story/D_7_3_2_9_005,Oh... that really is simple and straightforward.
Story/D_7_3_2_9_004,Woof woof woof woof woof!
Story/D_7_3_2_9_003,"There are plenty of people in this world with too much time on their hands‑strangers who, seeing you're easy to bully, want to kick you a couple of times. No need to argue; just bite them! Bite off a chunk of flesh and they won't dare to bark anymore!"
Story/D_7_3_2_9_002,"Of course we must fight, Senior Brother"
Story/D_7_3_2_9_001,"Of course I'll fight, Senior Brother"
Story/D_7_3_2_8_061,That is all I have to say; I will not say anything further to disturb you.
Story/D_7_3_2_8_060,……。
Story/D_7_3_2_8_059,"You can't refuse to take me far away, refuse to go along with the crowd, and still insist on staying here in the Tang family compound to wait for death, can you?"
Story/D_7_3_2_8_058,This is way too crazy
Story/D_7_3_2_8_057,"You and Liu E inexplicably get along, don't you? Why not‑while the Mud Cult still has some strength‑let me try to pull some strings; how about the Tang Clan actually forming an alliance with the Mud Cult?"
Story/D_7_3_2_8_056,"Go on, tell me"
Story/D_7_3_2_8_055,I have a particularly crazy idea
Story/O_7_3_2_8_004,The enemy of my enemy is my friend.
Story/D_7_3_2_8_054,I... I was threatened...!
Story/D_7_3_2_8_053,"If, on the other hand, you don't use your brain and stubbornly go off and get yourself killed, then consider yourself out of luck. I'll go find an ideal suitor at least ten times more handsome than you and drive you so mad you'll jump out of your coffin."
Story/D_7_3_2_8_052,"As long as you don't waver and don't treat your life lightly, we'll have many good days ahead."
Story/D_7_3_2_8_051,I wouldn't dare
Story/D_7_3_2_8_050,You've already shown sincerity and offered enough enticements; anything more would just seem cheap. Don't treat me like a casual female.
Story/D_7_3_2_8_049,......Miss Ying.
Story/D_7_3_2_8_048,"I know you won't leave the Tang Clan‑it's out of loyalty, and that's undoubtedly the right thing to do. But I still hope you'll give me a little more of your personal attention. I'm sorry."
Story/D_7_3_2_8_047,"When a Merchant offers more than the going rate, it's usually for two reasons: either they want to cultivate a friendly relationship with you, or they have an improper favor to ask. As for my ingratiating myself with you like this, it's both."
Story/D_7_3_2_8_046,"Enough, that's enough"
Story/D_7_3_2_8_045,"I, Shangguan Qianjin‑the proud only daughter of the Shangguan family‑am now throwing myself into your arms and making advances; is that enough to prove my sincerity?"
Story/D_7_3_2_8_044,Yes. Is that so? I think so too.
Story/D_7_3_2_8_043,"Nangong Shen and I had been betrothed since childhood, yet both of us were very strict about propriety. I was proud and haughty and would never act so shamelessly; when they tried to hold my finger, I wouldn't let them."
Story/D_7_3_2_8_042,"I can't just let it stop, can I?"
Story/D_7_3_2_8_041,Your heartbeat is way too loud ‑ you're asking to be smacked.
Story/D_7_3_2_8_040,Sorry
Story/D_7_3_2_8_039,Your expression is so disgusting ‑ you're asking for a beating.
Story/D_7_3_2_8_038,"I‑I'm warning you, okay: I'm not good at flattering people or acting cutesy. I've already swallowed my pride and I'm doing my absolute best. If you so much as say one word of disdain about me, I will never show you any courtesy for the rest of my life!"
Story/D_7_3_2_8_037,"Ying, Miss Ying... why are you suddenly so close?"
Story/D_7_3_2_8_036,"Zhao Lang, I've followed you, and I've always had your best interests at heart. If there were any other way out, I certainly wouldn't be urging you to give up your ambitions like this."
Story/D_7_3_2_8_035,"Concise and to the point, very persuasive"
Story/D_7_3_2_8_034,"I once believed Shangguan and Nangong were my family, but I ended up at the Tang Clan. If I were stubborn and rigid, clinging only to dogma, would I have come with you?"
Story/D_7_3_2_8_033,This is our home!
Story/D_7_3_2_8_032,"If Central Plains won't have us, why not just give up Tangjia Dayuan? The proverb as long as the green hills remain, there will always be firewood is so obvious‑I don't believe anyone doesn't understand it."
Story/O_7_3_2_8_003,Withdraw into seclusion
Story/D_7_3_2_8_031,"You're loyal to the Tang Clan, and Ying'er admires that. But I gave up wealth and glory ‑ I'm not here just to accompany you to your death. You must promise me you'll carefully consider your future."
Story/D_7_3_2_8_030,People who lack long‑term foresight will soon have immediate worries. I'm not discussing besieging the Mud Cult with you; I'm talking about the fact that sooner or later the Wulin Alliance will regard us as a thorn in their side.
Story/D_7_3_2_8_029,......I believe.
Story/D_7_3_2_8_028,"Once the Mud Cult is eliminated, the next target will be the Tang Clan ‑ do you believe that?"
Story/D_7_3_2_8_027,"The Tang Clan has brazenly defied the Imperial Court more than once; their record is riddled with misdeeds. It's only because imperial forces are tied up far away in Western Shu and external threats still remain that dispatching troops to suppress them is difficult. Now, with the Wulin Alliance serving as the enforcer, it will only be a matter of time before a deadly blow is struck against the Tang Clan."
Story/D_7_3_2_8_026,I knew it... you really are stubborn.
Story/D_7_3_2_8_025,"Miss Ying, the Sect Leader has already answered this question for you."
Story/D_7_3_2_8_024,"Zhao Huo, although I was about eighty percent sure of your answer, I'll ask anyway‑could the Tang Clan possibly pledge allegiance to the Imperial Court? If you and Third Brother give the nod, I can immediately mobilize my connections..."
Story/D_7_3_2_8_023,"Yes, yes, very much so. Except for your face, you're handsome all over!"
Story/D_7_3_2_8_022,"The rest of me is more handsome than my face, so don't hit me."
Story/D_7_3_2_8_021,"Hahaha, when they begged for mercy they even pleaded, please don't humiliate me, yet you instead told people to humiliate them."
Story/D_7_3_2_8_020,Pfft
Story/D_7_3_2_8_019,"Please, for the sake of this flower, don't strike anywhere except the face."
Story/D_7_3_2_8_018,"I've returned, and I've brought back this little flower whose color suits you."
Story/D_7_3_2_8_017,One......Two~
Story/D_7_3_2_8_016,"No... I didn't do anything wrong, don't hit me!"
Story/O_7_3_2_8_002,I don't want to. You must want to hit me.
Story/D_7_3_2_8_015,What the hell are you looking at? What the hell are you laughing at!
Story/D_7_3_2_8_014,……。
Story/T_7_3_2_8_001,"How can you be so soft‑hearted? If we have children in the future, you can't be the one to raise them‑an indulgent father often spoils his child."
Story/D_7_3_2_8_013,What if I still can't bring myself to hit you?
Story/D_7_3_2_8_012,It's truly terrifying...
Story/D_7_3_2_8_011,"But if what you say is unreasonable, I'll fight back."
Story/D_7_3_2_8_010,"Self‑indulgence is the real cruelty. Those close to the situation are often the most confused. If I've offended you in any way, please be sure to admonish me."
Story/D_7_3_2_8_009,"Are you serious...? Are you that strict with yourself, too?"
Story/D_7_3_2_8_008,"Yes... When we get married, I'll give you a family‑discipline rod. You can use it to punish me then."
Story/D_7_3_2_8_007,Owe what? Are you really planning on paying it back?
Story/D_7_3_2_8_006,I... this is a bad habit of mine; it's hard to change all at once. I'll be more careful next time‑I'll owe you one for now.
Story/D_7_3_2_8_005,"Look, look ‑ you're making a criminal declaration again."
Story/D_7_3_2_8_004,It's not like all I can do is hit people. You're asking for a beating.
Story/D_7_3_2_8_003,"Why do I get the feeling you're about to hit someone? Since I've been so obedient, if I do something wrong, please show mercy and hit me a little more lightly."
Story/O_7_3_2_8_001,Oh (as you command)
Story/D_7_3_2_8_002,"...Zhao Huo, come here. I want to speak to you earnestly."
Story/D_7_3_2_8_001,"Oh, so you were here ‑ I was looking for you everywhere."
Story/D_7_3_2_7_065,I always feel a little lonely. What can I do? Where will I be needed?
Story/T_7_3_2_7_004,"...Jinxiang Palace doesn't need me to risk my life to protect it; the Tang Clan doesn't either. If all I have to do is live my own life well, that's enough... isn't it?"
Story/D_7_3_2_7_064,That's good. Nothing else‑I'll head back for now; enjoy it. And be sure to keep a close eye on your wallet.
Story/D_7_3_2_7_063,I'm this polite‑how could I possibly leave without saying goodbye?
Story/D_7_3_2_7_062,"If you're leaving, don't forget to come and say goodbye to me, or I'll look for you everywhere."
Story/D_7_3_2_7_061,No way!
Story/D_7_3_2_7_060,"You'll get fat, you know"
Story/D_7_3_2_7_059,"I understand what you mean, but I need to think it over... I'll think about it while I eat."
Story/D_7_3_2_7_058,......Alright.
Story/D_7_3_2_7_057,"People will inevitably die; since it's unavoidable, they might as well live as they please while they're alive."
Story/D_7_3_2_7_056,"Afraid of dying as I am, I'm even more afraid of a lifetime of regret. To make sure things don't turn out that way, I'll give it my all."
Story/D_7_3_2_7_055,"You're so cowardly, and yet you still brag."
Story/D_7_3_2_7_054,"Oh, please ‑ who do you take me for? I'm not crazy; of course I'd be afraid."
Story/D_7_3_2_7_053,Aren't you at all afraid of dying?
Story/D_7_3_2_7_052,Of course I'll stay
Story/D_7_3_2_7_051,What about you?
Story/D_7_3_2_7_050,"If my Brother Sect Leader decides to hold the Tang Clan and fight the Wulin Alliance to the death, Sister Xiang should go down the mountain alone."
Story/D_7_3_2_7_049,"Sorry ‑ I promised Lady Wen I'd take in Jinxiang, a palace attendant. As a result, we can't even keep ourselves safe."
Story/D_7_3_2_7_048,You are your whole self ‑ just be responsible for yourself.
Story/D_7_3_2_7_047,"I know, I know... you don't have to say that."
Story/D_7_3_2_7_046,"You're not a Tang Clan Disciple; at most you're just a passerby. I'm a member of the Tang Clan, so I won't leave. You're not one of us‑what obligation do you have to live and die with the Tang Clan? No one asked you to do this."
Story/D_7_3_2_7_045,But you're different ‑ you still have a wonderful life ahead; you don't have to wade into this mess.
Story/D_7_3_2_7_044,"The rise and fall of the Tang Clan is the inescapable responsibility of every Tang Clan Disciple. Do everything you can and then leave the rest to fate; if the Tang Clan is truly destined to perish, that too is ordained by fate."
Story/D_7_3_2_7_043,"Sister Xiang, listen to me"
Story/D_7_3_2_7_042,"Anyway, that's it. Don't ask me. Does what I think matter? It's up to you to decide."
Story/D_7_3_2_7_041,"My master used to force me to study with a rattan cane, and I forget things as soon as I read them. If I can occasionally manage to come up with a few idioms, that's something‑don't put me on the spot."
Story/D_7_3_2_7_040,This is a poem by Li Bai. Haven't you read it?
Story/O_7_3_2_7_004,"No, this is Li Bai's Xing Lu Nan."
Story/D_7_3_2_7_039,You really seem to be able to do anything‑unlike me. Sigh.
Story/N_7_3_2_7_001,"No, it's not. You little liar."
Story/D_7_3_2_7_038,That's right ‑ it's a poem I wrote.
Story/O_7_3_2_7_003,"That's right, this is a poem I wrote."
Story/D_7_3_2_7_037,Is this a poem you wrote?
Story/D_7_3_2_7_036,"That's exactly it... This whole table of delicious dishes smells so good, yet I can't taste a thing. Not only have I failed to appreciate the chef's hard work, I'm ashamed before these Chickens that I swallowed whole."
Story/D_7_3_2_7_035,"The golden cup holds clear wine worth ten thousand coins, the jade plate bears delicacies priced at ten thousand coins. I stop drinking, put down my chopsticks, unable to eat; I draw my sword, look around, my heart in confusion."
Story/T_7_3_2_7_003,"A leaky roof suffers more when it rains overnight. At Fengyu Mountain, Sister Xiang's inner demon grew even stronger."
Story/D_7_3_2_7_034,Like this...?
Story/D_7_3_2_7_033,"I've already... had enough of swinging my sword, and I don't want to see people I know die anymore. I want to retire into seclusion, but I don't know what I can do after sealing my sword; my life feels completely aimless."
Story/D_7_3_2_7_032,"Even now, they still dream of Uncle Wang, of Fengyu Mountain, and always want to avoid it."
Story/D_7_3_2_7_031,"Even now, I often dream of Uncle Wang ‑ I dream of the day your Senior Brother died, I dream of Fengyu Mountain, and I keep wanting to run away."
Story/D_7_3_2_7_030,You used to always drag me into sparring matches.
Story/D_7_3_2_7_029,"This kind of Jianghu is disheartening, isn't it? I'm both furious and bewildered ‑ I want to seek justice, but the hand that holds my sword betrays me and trembles. I'm going to make my Father lose face."
Story/D_7_3_2_7_028,"Those with a large following speak with decisive authority; the isolated can only meekly comply. Those with superior martial prowess can ignore reason; people who flock to them, hoping for gain, risk their lives and obsequiously flatter them."
Story/D_7_3_2_7_027,"Yeah... to be honest, seeing them like that made me very afraid. The chivalry I longed for seems to have been nothing but wishful thinking, merely a fantasy."
Story/D_7_3_2_7_026,"This is difficult. Among them some are sensible, some would rather see the world in chaos, but most simply echo others and are led by the nose."
Story/D_7_3_2_7_025,......I wish the Wulin could be a little more clear‑headed and not so frenzied.
Story/D_7_3_2_7_024,Never mind what the Tang Clan wants‑what do you yourself hope for?
Story/D_7_3_2_7_023,What happened?
Story/D_7_3_2_7_022,……。
Story/D_7_3_2_7_021,"If the Tang Clan wants to confront the Wulin Alliance head‑on, I will, of course, stand and fall with you."
Story/D_7_3_2_7_020,"I even gave up my meal to tempt you, and you still can't change the subject?"
Story/D_7_3_2_7_019,"Sister Xiang, I just mentioned the matter of the Wulin Alliance‑what would you plan to do?"
Story/D_7_3_2_7_018,Really
Story/D_7_3_2_7_017,"Don't worry, I paid properly, with the reward I earned today from catching a thief. You can eat too ‑ actually, it's rare for me to treat, so I hope you'll do me the honor of accepting."
Story/D_7_3_2_7_016,Long Xiang was inwardly anguished; they had to channel their grief and indignation into eating.
Story/D_7_3_2_7_015,It's good that you want to work to earn money. Now please explain‑what's going on with this table of dishes?
Story/D_7_3_2_7_014,Why are you acting like that? Isn't it commendable that I can reflect on myself? Why don't you at least comfort me!
Story/D_7_3_2_7_013,"Oh my God, Sister Xiang has suddenly attained enlightenment!"
Story/O_7_3_2_7_002,Verbal Attack
Story/T_7_3_2_7_002,"I blurted it out, but luckily Sister Xiang didn't notice. She's a dignified female hero‑how could I suggest she earn money by performing like a courtesan?"
Story/T_7_3_2_7_001,I'm that bad at performing‑what listener would be willing to be impressed?
Story/D_7_3_2_7_012,"Uh... no, it's not."
Story/D_7_3_2_7_011,Are you trying to make me play the xiao and sing for money at an inn?
Story/D_7_3_2_7_010,"If you don't take up the sword, don't you still play music?"
Story/D_7_3_2_7_009,"Just let me be like this for now, okay?"
Story/D_7_3_2_7_008,"...Yeah, I know, it's just... it's just... sigh."
Story/D_7_3_2_7_007,Then just pick up a sword; pick it up and you'll be able to do anything.
Story/D_7_3_2_7_006,You're way too kind ‑ not even my master has ever indulged me like this.
Story/D_7_3_2_7_005,"Isn't this kind of thing perfectly normal? If you want to do a good job, you must first sharpen your tools; even the most skilled cook can't make a meal without rice. Even an imperial palace chef, if not given pots or a spatula, can't come up with any fancy dishes."
Story/O_7_3_2_7_001,Comfort
Story/D_7_3_2_7_004,"No. To my shame, I‑I realized that I seem to be what people commonly call a useless person. If I'm not using a sword, I really can't do anything; I'm completely good‑for‑nothing."
Story/D_7_3_2_7_003,Any results?
Story/D_7_3_2_7_002,"My heart was heavy and I couldn't calm down enough to practice swordsmanship. Wanting to earn a little money to pay the rent, I wandered the streets to see if there was any work I could do."
Story/D_7_3_2_7_001,I've been looking for you for ages‑how come you're at the inn?
Story/T_7_3_2_6_003,"......As long as the Young Lady does not intervene, this plan will surely succeed."
Story/D_7_3_2_6_025,What a brilliant plan! My wife is simply amazing! I'll go tell Third Senior Brother!
Story/D_7_3_2_6_024,What a brilliant plan! For Wei the Talented Woman to still say the strategy won't work is far too modest! I'll go tell Third Senior Brother.
Story/T_7_3_2_6_002,Zhao Lang really wasn't someone who answered at my bidding. Every step he mentioned was not far from what Senior Brother Danxiazi and I had worked out.
Story/D_7_3_2_6_023,"However, the above assumes a situation in which the five major sects other than Kongtong are all hostile to the Tang Clan. In reality, the Songshan sect may not be able to excuse themselves, and the other sects are not in a cannot live under the same sky relationship with us."
Story/D_7_3_2_6_022,"Good ‑ of course we should go with the flow and draw the fire toward Qingcheng to smoke Shentu Long out. Once the fire reaches his eyebrows, let's see if he can still keep up the act."
Story/D_7_3_2_6_021,"Those who truly must be crushed in one fell swoop are the Shangguan clan, Qingcheng, and Emei."
